CODIGO;TITULO;
10105;Oficial general da aeronáutica;"INSERT INTO states (code, title) VALUES ('10105','Oficial general da aeronáutica');"
10110;Oficial general do exército;"INSERT INTO states (code, title) VALUES ('10110','Oficial general do exército');"
10115;Oficial general da marinha;"INSERT INTO states (code, title) VALUES ('10115','Oficial general da marinha');"
10215;Oficial da marinha;"INSERT INTO states (code, title) VALUES ('10215','Oficial da marinha');"
10210;Oficial do exército;"INSERT INTO states (code, title) VALUES ('10210','Oficial do exército');"
10205;Oficial da aeronáutica;"INSERT INTO states (code, title) VALUES ('10205','Oficial da aeronáutica');"
10310;Praça do exército;"INSERT INTO states (code, title) VALUES ('10310','Praça do exército');"
10315;Praça da marinha;"INSERT INTO states (code, title) VALUES ('10315','Praça da marinha');"
10305;Praça da aeronáutica;"INSERT INTO states (code, title) VALUES ('10305','Praça da aeronáutica');"
20115;Major da polícia militar;"INSERT INTO states (code, title) VALUES ('20115','Major da polícia militar');"
20105;Coronel da polícia militar;"INSERT INTO states (code, title) VALUES ('20105','Coronel da polícia militar');"
20110;Tenente-coronel da polícia militar;"INSERT INTO states (code, title) VALUES ('20110','Tenente-coronel da polícia militar');"
20205;Capitão da polícia militar;"INSERT INTO states (code, title) VALUES ('20205','Capitão da polícia militar');"
20305;Primeiro tenente de polícia militar;"INSERT INTO states (code, title) VALUES ('20305','Primeiro tenente de polícia militar');"
20310;Segundo tenente de polícia militar;"INSERT INTO states (code, title) VALUES ('20310','Segundo tenente de polícia militar');"
21105;Subtenente da policia militar;"INSERT INTO states (code, title) VALUES ('21105','Subtenente da policia militar');"
21110;Sargento da policia militar;"INSERT INTO states (code, title) VALUES ('21110','Sargento da policia militar');"
21205;Cabo da polícia militar;"INSERT INTO states (code, title) VALUES ('21205','Cabo da polícia militar');"
21210;Soldado da polícia militar;"INSERT INTO states (code, title) VALUES ('21210','Soldado da polícia militar');"
30115;Tenente-coronel bombeiro militar;"INSERT INTO states (code, title) VALUES ('30115','Tenente-coronel bombeiro militar');"
30105;Coronel bombeiro militar;"INSERT INTO states (code, title) VALUES ('30105','Coronel bombeiro militar');"
30110;Major bombeiro militar;"INSERT INTO states (code, title) VALUES ('30110','Major bombeiro militar');"
30205;Capitão bombeiro militar;"INSERT INTO states (code, title) VALUES ('30205','Capitão bombeiro militar');"
30305;Tenente do corpo de bombeiros militar;"INSERT INTO states (code, title) VALUES ('30305','Tenente do corpo de bombeiros militar');"
31105;Subtenente bombeiro militar;"INSERT INTO states (code, title) VALUES ('31105','Subtenente bombeiro militar');"
31110;Sargento bombeiro militar;"INSERT INTO states (code, title) VALUES ('31110','Sargento bombeiro militar');"
31210;Soldado bombeiro militar;"INSERT INTO states (code, title) VALUES ('31210','Soldado bombeiro militar');"
31205;Cabo bombeiro militar;"INSERT INTO states (code, title) VALUES ('31205','Cabo bombeiro militar');"
111120;Vereador;"INSERT INTO states (code, title) VALUES ('111120','Vereador');"
111115;Deputado estadual e distrital;"INSERT INTO states (code, title) VALUES ('111115','Deputado estadual e distrital');"
111110;Deputado federal;"INSERT INTO states (code, title) VALUES ('111110','Deputado federal');"
111105;Senador;"INSERT INTO states (code, title) VALUES ('111105','Senador');"
111220;Secretário - executivo;"INSERT INTO states (code, title) VALUES ('111220','Secretário - executivo');"
111215;Ministro de estado;"INSERT INTO states (code, title) VALUES ('111215','Ministro de estado');"
111255;Vice-prefeito;"INSERT INTO states (code, title) VALUES ('111255','Vice-prefeito');"
111250;Prefeito;"INSERT INTO states (code, title) VALUES ('111250','Prefeito');"
111245;Vice-governador do distrito federal;"INSERT INTO states (code, title) VALUES ('111245','Vice-governador do distrito federal');"
111205;Presidente da república;"INSERT INTO states (code, title) VALUES ('111205','Presidente da república');"
111225;Membro superior do poder executivo;"INSERT INTO states (code, title) VALUES ('111225','Membro superior do poder executivo');"
111230;Governador de estado;"INSERT INTO states (code, title) VALUES ('111230','Governador de estado');"
111210;Vice-presidente da república;"INSERT INTO states (code, title) VALUES ('111210','Vice-presidente da república');"
111240;Vice-governador de estado;"INSERT INTO states (code, title) VALUES ('111240','Vice-governador de estado');"
111235;Governador do distrito federal;"INSERT INTO states (code, title) VALUES ('111235','Governador do distrito federal');"
111345;Juiz do trabalho;"INSERT INTO states (code, title) VALUES ('111345','Juiz do trabalho');"
111340;Juiz auditor estadual - justiça militar;"INSERT INTO states (code, title) VALUES ('111340','Juiz auditor estadual - justiça militar');"
111335;Juiz auditor federal - justiça militar;"INSERT INTO states (code, title) VALUES ('111335','Juiz auditor federal - justiça militar');"
111330;Juiz federal;"INSERT INTO states (code, title) VALUES ('111330','Juiz federal');"
111325;Juiz de direito;"INSERT INTO states (code, title) VALUES ('111325','Juiz de direito');"
111320;Ministro do  superior tribunal do trabalho;"INSERT INTO states (code, title) VALUES ('111320','Ministro do  superior tribunal do trabalho');"
111310;Ministro do superior tribunal de justiça;"INSERT INTO states (code, title) VALUES ('111310','Ministro do superior tribunal de justiça');"
111315;Ministro do  superior tribunal militar;"INSERT INTO states (code, title) VALUES ('111315','Ministro do  superior tribunal militar');"
111305;Ministro do supremo tribunal federal;"INSERT INTO states (code, title) VALUES ('111305','Ministro do supremo tribunal federal');"
111405;Dirigente do serviço público federal;"INSERT INTO states (code, title) VALUES ('111405','Dirigente do serviço público federal');"
111410;Dirigente do serviço público estadual e distrital;"INSERT INTO states (code, title) VALUES ('111410','Dirigente do serviço público estadual e distrital');"
111415;Dirigente do serviço público municipal;"INSERT INTO states (code, title) VALUES ('111415','Dirigente do serviço público municipal');"
111505;Especialista de políticas públicas e gestão governamental - eppgg;"INSERT INTO states (code, title) VALUES ('111505','Especialista de políticas públicas e gestão governamental - eppgg');"
111510;Analista de planejamento e orçamento - apo;"INSERT INTO states (code, title) VALUES ('111510','Analista de planejamento e orçamento - apo');"
113015;Membro de liderança quilombola;"INSERT INTO states (code, title) VALUES ('113015','Membro de liderança quilombola');"
113005;Cacique;"INSERT INTO states (code, title) VALUES ('113005','Cacique');"
113010;Líder de comunidade caiçara;"INSERT INTO states (code, title) VALUES ('113010','Líder de comunidade caiçara');"
114105;Dirigente de partido político;"INSERT INTO states (code, title) VALUES ('114105','Dirigente de partido político');"
114210;Dirigentes de entidades patronais;"INSERT INTO states (code, title) VALUES ('114210','Dirigentes de entidades patronais');"
114205;Dirigentes de entidades de trabalhadores;"INSERT INTO states (code, title) VALUES ('114205','Dirigentes de entidades de trabalhadores');"
114305;Dirigente e administrador de organização religiosa;"INSERT INTO states (code, title) VALUES ('114305','Dirigente e administrador de organização religiosa');"
114405;Dirigente e administrador de organização da sociedade civil sem fins lucrativos;"INSERT INTO states (code, title) VALUES ('114405','Dirigente e administrador de organização da sociedade civil sem fins lucrativos');"
121005;Diretor de planejamento estratégico;"INSERT INTO states (code, title) VALUES ('121005','Diretor de planejamento estratégico');"
121010;Diretor geral de empresa e organizações (exceto de interesse público);"INSERT INTO states (code, title) VALUES ('121010','Diretor geral de empresa e organizações (exceto de interesse público)');"
122120;Diretor de produção e operações em empresa pesqueira;"INSERT INTO states (code, title) VALUES ('122120','Diretor de produção e operações em empresa pesqueira');"
122115;Diretor de produção e operações em empresa florestal;"INSERT INTO states (code, title) VALUES ('122115','Diretor de produção e operações em empresa florestal');"
122105;Diretor de produção e operações em empresa agropecuária;"INSERT INTO states (code, title) VALUES ('122105','Diretor de produção e operações em empresa agropecuária');"
122110;Diretor de produção e operações em empresa aqüícola;"INSERT INTO states (code, title) VALUES ('122110','Diretor de produção e operações em empresa aqüícola');"
122205;Diretor de produção e operações da indústria de transformação, extração mineral e utilidades;"INSERT INTO states (code, title) VALUES ('122205','Diretor de produção e operações da indústria de transformação, extração mineral e utilidades');"
122305;Diretor de operações de obras pública e civil;"INSERT INTO states (code, title) VALUES ('122305','Diretor de operações de obras pública e civil');"
122405;Diretor de operações comerciais (comércio atacadista e varejista);"INSERT INTO states (code, title) VALUES ('122405','Diretor de operações comerciais (comércio atacadista e varejista)');"
122515;Diretor de  produção e operações de turismo;"INSERT INTO states (code, title) VALUES ('122515','Diretor de  produção e operações de turismo');"
122520;Turismólogo;"INSERT INTO states (code, title) VALUES ('122520','Turismólogo');"
122505;Diretor de  produção e operações de alimentação;"INSERT INTO states (code, title) VALUES ('122505','Diretor de  produção e operações de alimentação');"
122510;Diretor de  produção e operações de hotel;"INSERT INTO states (code, title) VALUES ('122510','Diretor de  produção e operações de hotel');"
122620;Diretor de operações de serviços de transporte;"INSERT INTO states (code, title) VALUES ('122620','Diretor de operações de serviços de transporte');"
122615;Diretor de operações de serviços de telecomunicações;"INSERT INTO states (code, title) VALUES ('122615','Diretor de operações de serviços de telecomunicações');"
122605;Diretor de operações de correios;"INSERT INTO states (code, title) VALUES ('122605','Diretor de operações de correios');"
122610;Diretor de operações de serviços de armazenamento;"INSERT INTO states (code, title) VALUES ('122610','Diretor de operações de serviços de armazenamento');"
122705;Diretor comercial em operações de intermediação financeira;"INSERT INTO states (code, title) VALUES ('122705','Diretor comercial em operações de intermediação financeira');"
122710;Diretor de produtos bancários;"INSERT INTO states (code, title) VALUES ('122710','Diretor de produtos bancários');"
122715;Diretor de crédito rural;"INSERT INTO states (code, title) VALUES ('122715','Diretor de crédito rural');"
122720;Diretor de câmbio e comércio exterior;"INSERT INTO states (code, title) VALUES ('122720','Diretor de câmbio e comércio exterior');"
122725;Diretor de compliance;"INSERT INTO states (code, title) VALUES ('122725','Diretor de compliance');"
122730;Diretor de crédito (exceto crédito imobiliário);"INSERT INTO states (code, title) VALUES ('122730','Diretor de crédito (exceto crédito imobiliário)');"
122735;Diretor de crédito imobiliário;"INSERT INTO states (code, title) VALUES ('122735','Diretor de crédito imobiliário');"
122740;Diretor de leasing;"INSERT INTO states (code, title) VALUES ('122740','Diretor de leasing');"
122745;Diretor de mercado de capitais;"INSERT INTO states (code, title) VALUES ('122745','Diretor de mercado de capitais');"
122750;Diretor de recuperação de créditos em operações de intermediação financeira;"INSERT INTO states (code, title) VALUES ('122750','Diretor de recuperação de créditos em operações de intermediação financeira');"
